Process,Temp,Current,NG
6,68.47081535284565,1.63,정상
6,71.84317473479867,1.586,정상
6,70.18546553761685,1.55,정상
6,71.55671042933152,1.627,정상
6,69.93957562396797,1.589,정상
6,69.08489761472396,1.62,정상
6,66.47081535284565,1.583,정상
6,69.84317473479867,1.564,정상
6,69.18546553761685,1.504,정상
6,68.55671042933152,1.581,정상
6,68.93957562396797,1.566,정상
6,64.01093857044455,1.552,정상
6,65.19333628680197,1.56,정상
6,66.28386418628695,1.448,정상
6,64.3394548018018,1.475,정상
6,64.49933688835523,1.5,정상
6,64.81608582210924,1.456,정상
7,73.20403500015834,1.46,정상
7,76.87178422074807,1.466,정상
7,76.49957940787253,1.657,정상
7,75.86391347156295,1.741,정상
7,75.9081485396546,1.732,정상
7,76.66209655792429,1.718,정상
7,72.04198315231801,1.719,정상
7,71.31247367223635,1.736,정상
7,71.53366359223965,1.631,정상
7,72.74042366970423,1.614,정상
7,74.04518510357609,1.619,정상
7,74.47249049518311,1.647,정상
7,71.04198315231801,1.676,정상
7,71.31247367223635,1.687,정상
7,69.53366359223965,1.608,정상
7,72.74042366970423,1.614,정상
7,70.04518510357609,1.574,정상
7,70.47249049518311,1.647,정상
7,68.13914228339809,1.586,정상
7,68.66042141558682,1.595,정상
7,71.1776601448583,1.542,정상
7,70.58643440551927,1.554,정상
7,69.87710395778115,1.611,정상
7,70.01353466824737,1.598,정상
7,69.13914228339809,1.582,정상
7,69.66042141558682,1.585,정상
7,70.1776601448583,1.565,정상
7,70.58643440551927,1.577,정상
7,69.87710395778115,1.588,정상
7,68.01353466824737,1.598,정상
7,65.00784572726687,1.581,정상
7,65.11937724252256,1.539,정상
7,66.12181233844662,1.471,정상
7,66.06197573575812,1.473,정상
7,67.0864964282445,1.496,정상
7,66.25677527359753,1.495,정상
8,74.00784572726687,1.518,정상
8,73.11937724252256,1.5,정상
8,74.12181233844662,1.676,정상
8,74.06197573575812,1.656,정상
8,75.0864964282445,1.678,정상
8,74.25677527359753,1.677,정상
8,72.20403500015834,1.7,정상
8,80.21735958298056,1.8253976519104684,정상
8,72.49957940787253,1.635,정상
8,72.86391347156295,1.672,정상
8,74.9081485396546,1.642,정상
8,72.66209655792429,1.649,정상
8,72.20403500015834,1.696,정상
8,71.87178422074807,1.645,정상
8,73.49957940787253,1.635,정상
8,70.86391347156295,1.627,정상
8,71.9081485396546,1.664,정상
8,73.66209655792429,1.605,정상
8,68.13914228339809,1.628,정상
8,71.66042141558682,1.668,정상
8,69.1776601448583,1.542,정상
8,69.58643440551927,1.623,정상
8,69.87710395778115,1.566,정상
8,70.01353466824737,1.575,정상
8,68.20403500015834,1.582,정상
8,69.87178422074807,1.585,정상
8,67.49957940787253,1.544,정상
8,70.86391347156295,1.582,정상
8,70.9081485396546,1.528,정상
8,68.66209655792429,1.605,정상
8,65.08489761472396,1.605,정상
8,67.47081535284565,1.554,정상
8,66.84317473479867,1.473,정상
8,66.18546553761685,1.527,정상
8,68.55671042933152,1.513,정상
8,65.93957562396797,1.498,정상
9,75.01093857044455,1.552,정상
9,73.19333628680197,1.492,정상
9,76.28386418628695,1.699,정상
9,75.3394548018018,1.657,정상
9,75.49933688835523,1.728,정상
9,73.81608582210924,1.706,정상
9,71.00784572726687,1.71,정상
9,73.11937724252256,1.672,정상
9,74.12181233844662,1.607,정상
9,71.06197573575812,1.655,정상
9,72.0864964282445,1.678,정상
9,71.25677527359753,1.609,정상
9,69.04198315231801,1.632,정상
9,69.31247367223635,1.613,정상
9,71.53366359223965,1.563,정상
9,71.74042366970423,1.569,정상
9,73.04518510357609,1.619,정상
9,72.47249049518311,1.625,정상
9,70.04198315231801,1.654,정상
9,71.31247367223635,1.641,정상
9,70.53366359223965,1.585,정상
9,68.74042366970423,1.614,정상
9,70.04518510357609,1.597,정상
9,70.47249049518311,1.556,정상
9,67.20403500015834,1.585,정상
9,69.87178422074807,1.596,정상
9,67.49957940787253,1.521,정상
